new_name;labels;L_HMG2019_2_7p.dta
;Ongeveer hoeveel uur per week helpt/hielp u Kind2 met huiswerk maken in: de bove;v8c1_2
;Ongeveer hoeveel uur per week helpt/hielp u Kind3 met huiswerk maken in: de bove;v8c1_3
;Ongeveer hoeveel uur per week helpt/hielp u Kind4 met huiswerk maken in: de bove;v8c1_4
;Ongeveer hoeveel uur per week helpt/hielp u Kind5 met huiswerk maken in: de bove;v8c1_5
;Ongeveer hoeveel uur per week helpt/hielp u Kind6 met huiswerk maken in: de bove;v8c1_6
;Ongeveer hoeveel uur per week helpt/hielp u Kind7 met huiswerk maken in: de bove;v8c1_7
;Ongeveer hoeveel uur per week helpt/hielp u Kind8 met huiswerk maken in: de bove;v8c1_8
;Ongeveer hoeveel uur per week helpt/hielp u Kind9 met huiswerk maken in: de bove;v8c1_9
;Ongeveer hoeveel uur per week helpt/hielp u Kind1 met huiswerk maken in: de onde;v8c2_1
;Ongeveer hoeveel uur per week helpt/hielp u Kind10 met huiswerk maken in: de ond;v8c2_10
;Ongeveer hoeveel uur per week helpt/hielp u Kind2 met huiswerk maken in: de onde;v8c2_2
;Ongeveer hoeveel uur per week helpt/hielp u Kind3 met huiswerk maken in: de onde;v8c2_3
;Ongeveer hoeveel uur per week helpt/hielp u Kind4 met huiswerk maken in: de onde;v8c2_4
;Ongeveer hoeveel uur per week helpt/hielp u Kind5 met huiswerk maken in: de onde;v8c2_5
;Ongeveer hoeveel uur per week helpt/hielp u Kind6 met huiswerk maken in: de onde;v8c2_6
;Ongeveer hoeveel uur per week helpt/hielp u Kind7 met huiswerk maken in: de onde;v8c2_7
;Ongeveer hoeveel uur per week helpt/hielp u Kind8 met huiswerk maken in: de onde;v8c2_8
;Ongeveer hoeveel uur per week helpt/hielp u Kind9 met huiswerk maken in: de onde;v8c2_9
;Ongeveer hoeveel uur per week gemiddeld had u direct contact met Kind1, hulp bij;v8d1_1
;Ongeveer hoeveel uur per week gemiddeld had u direct contact met Kind10, hulp bi;v8d1_10
;Ongeveer hoeveel uur per week gemiddeld had u direct contact met Kind2, hulp bij;v8d1_2
;Ongeveer hoeveel uur per week gemiddeld had u direct contact met Kind3, hulp bij;v8d1_3
;Ongeveer hoeveel uur per week gemiddeld had u direct contact met Kind4, hulp bij;v8d1_4
;Ongeveer hoeveel uur per week gemiddeld had u direct contact met Kind5, hulp bij;v8d1_5
;Ongeveer hoeveel uur per week gemiddeld had u direct contact met Kind6, hulp bij;v8d1_6
;Ongeveer hoeveel uur per week gemiddeld had u direct contact met Kind7, hulp bij;v8d1_7
;Ongeveer hoeveel uur per week gemiddeld had u direct contact met Kind8, hulp bij;v8d1_8
;Ongeveer hoeveel uur per week gemiddeld had u direct contact met Kind9, hulp bij;v8d1_9
;Ongeveer hoeveel uur per week gemiddeld had u direct contact met Kind1, hulp bij;v8d2_1
;Ongeveer hoeveel uur per week gemiddeld had u direct contact met Kind10, hulp bi;v8d2_10
;Ongeveer hoeveel uur per week gemiddeld had u direct contact met Kind2, hulp bij;v8d2_2
;Ongeveer hoeveel uur per week gemiddeld had u direct contact met Kind3, hulp bij;v8d2_3
;Ongeveer hoeveel uur per week gemiddeld had u direct contact met Kind4, hulp bij;v8d2_4
;Ongeveer hoeveel uur per week gemiddeld had u direct contact met Kind5, hulp bij;v8d2_5
;Ongeveer hoeveel uur per week gemiddeld had u direct contact met Kind6, hulp bij;v8d2_6
;Ongeveer hoeveel uur per week gemiddeld had u direct contact met Kind7, hulp bij;v8d2_7
;Ongeveer hoeveel uur per week gemiddeld had u direct contact met Kind8, hulp bij;v8d2_8
;Ongeveer hoeveel uur per week gemiddeld had u direct contact met Kind9, hulp bij;v8d2_9
;Ongeveer hoeveel uur per week gemiddeld hebt/had u direct contact met Kind1? in ;v8e_1
;Ongeveer hoeveel uur per week gemiddeld hebt/had u direct contact met Kind10? in;v8e_10
;Ongeveer hoeveel uur per week gemiddeld hebt/had u direct contact met Kind2? in ;v8e_2
;Ongeveer hoeveel uur per week gemiddeld hebt/had u direct contact met Kind3? de ;v8e_3
;Ongeveer hoeveel uur per week gemiddeld hebt/had u direct contact met Kind4? in ;v8e_4
;Ongeveer hoeveel uur per week gemiddeld hebt/had u direct contact met Kind5? in ;v8e_5
;Ongeveer hoeveel uur per week gemiddeld hebt/had u direct contact met Kind6? in ;v8e_6
;Ongeveer hoeveel uur per week gemiddeld hebt/had u direct contact met Kind7? in ;v8e_7
;Ongeveer hoeveel uur per week gemiddeld hebt/had u direct contact met Kind8? in ;v8e_8
;Ongeveer hoeveel uur per week gemiddeld hebt/had u direct contact met Kind9? in ;v8e_9
;Ongeveer hoeveel uur per week gemiddeld maakt(e) Kind1 zelf huiswerk (zonder hul;v8f_1
;Ongeveer hoeveel uur per week gemiddeld maakt(e) Kind10 zelf huiswerk (zonder hu;v8f_10
;Ongeveer hoeveel uur per week gemiddeld maakt(e) Kind2 zelf huiswerk (zonder hul;v8f_2
;Ongeveer hoeveel uur per week gemiddeld maakt(e) Kind3 zelf huiswerk (zonder hul;v8f_3
;Ongeveer hoeveel uur per week gemiddeld maakt(e) Kind4 zelf huiswerk (zonder hul;v8f_4
;Ongeveer hoeveel uur per week gemiddeld maakt(e) Kind5 zelf huiswerk (zonder hul;v8f_5
;Ongeveer hoeveel uur per week gemiddeld maakt(e) Kind6 zelf huiswerk (zonder hul;v8f_6
;Ongeveer hoeveel uur per week gemiddeld maakt(e) Kind7 zelf huiswerk (zonder hul;v8f_7
;Ongeveer hoeveel uur per week gemiddeld maakt(e) Kind8 zelf huiswerk (zonder hul;v8f_8
;Ongeveer hoeveel uur per week gemiddeld maakt(e) Kind9 zelf huiswerk (zonder hul;v8f_9
;Ongeveer hoeveel uur per week helpt/hielp u Kind1 met huiswerk maken?;v8g_1
;Ongeveer hoeveel uur per week helpt/hielp u Kind10 met huiswerk maken?;v8g_10
;Ongeveer hoeveel uur per week helpt/hielp u Kind2 met huiswerk maken?;v8g_2
;Ongeveer hoeveel uur per week helpt/hielp u Kind3 met huiswerk maken?;v8g_3
;Ongeveer hoeveel uur per week helpt/hielp u Kind4 met huiswerk maken?;v8g_4
;Ongeveer hoeveel uur per week helpt/hielp u Kind5 met huiswerk maken?;v8g_5
;Ongeveer hoeveel uur per week helpt/hielp u Kind6 met huiswerk maken?;v8g_6
;Ongeveer hoeveel uur per week helpt/hielp u Kind7 met huiswerk maken?;v8g_7
;Ongeveer hoeveel uur per week helpt/hielp u Kind8 met huiswerk maken?;v8g_8
;Ongeveer hoeveel uur per week helpt/hielp u Kind9 met huiswerk maken?;v8g_9
;Ongeveer hoeveel uur per week gemiddeld besteedt/besteedde uw kind achter het s;v8h_1
;Ongeveer hoeveel uur per week gemiddeld besteedt/besteedde uw kind achter het s;v8h_10
;Ongeveer hoeveel uur per week gemiddeld besteedt/besteedde uw kind achter het s;v8h_2
;Ongeveer hoeveel uur per week gemiddeld besteedt/besteedde uw kind achter het s;v8h_3
;Ongeveer hoeveel uur per week gemiddeld besteedt/besteedde uw kind achter het s;v8h_4
;Ongeveer hoeveel uur per week gemiddeld besteedt/besteedde uw kind achter het s;v8h_5
;Ongeveer hoeveel uur per week gemiddeld besteedt/besteedde uw kind achter het s;v8h_6
;Ongeveer hoeveel uur per week gemiddeld besteedt/besteedde uw kind achter het s;v8h_7
;Ongeveer hoeveel uur per week gemiddeld besteedt/besteedde uw kind achter het s;v8h_8
;Ongeveer hoeveel uur per week gemiddeld besteedt/besteedde uw kind achter het s;v8h_9
;Ongeveer hoeveel uur per week gemiddeld hebt u direct contact met Kind1? Bijvoor;v8i_1
;Ongeveer hoeveel uur per week gemiddeld hebt u direct contact met Kind10? Bijvoo;v8i_10
;Ongeveer hoeveel uur per week gemiddeld hebt u direct contact met Kind2? Bijvoor;v8i_2
;Ongeveer hoeveel uur per week gemiddeld hebt u direct contact met Kind3? Bijvoor;v8i_3
;Ongeveer hoeveel uur per week gemiddeld hebt u direct contact met Kind4? Bijvoor;v8i_4
;Ongeveer hoeveel uur per week gemiddeld hebt u direct contact met Kind5? Bijvoor;v8i_5
;Ongeveer hoeveel uur per week gemiddeld hebt u direct contact met Kind6? Bijvoor;v8i_6
;Ongeveer hoeveel uur per week gemiddeld hebt u direct contact met Kind7? Bijvoor;v8i_7
;Ongeveer hoeveel uur per week gemiddeld hebt u direct contact met Kind8? Bijvoor;v8i_8
;Ongeveer hoeveel uur per week gemiddeld hebt u direct contact met Kind9? Bijvoor;v8i_9
;Ongeveer hoeveel uur per week gemiddeld besteedt uw kind achter het scherm (bi;v8j_1
;Ongeveer hoeveel uur per week gemiddeld besteedt uw kind achter het scherm (bi;v8j_10
;Ongeveer hoeveel uur per week gemiddeld besteedt uw kind achter het scherm (bi;v8j_2
;Ongeveer hoeveel uur per week gemiddeld besteedt uw kind achter het scherm (bi;v8j_3
;Ongeveer hoeveel uur per week gemiddeld besteedt uw kind achter het scherm (bi;v8j_4
;Ongeveer hoeveel uur per week gemiddeld besteedt uw kind achter het scherm (bi;v8j_5
;Ongeveer hoeveel uur per week gemiddeld besteedt uw kind achter het scherm (bi;v8j_6
;Ongeveer hoeveel uur per week gemiddeld besteedt uw kind achter het scherm (bi;v8j_7
;Ongeveer hoeveel uur per week gemiddeld besteedt uw kind achter het scherm (bi;v8j_8
;Ongeveer hoeveel uur per week gemiddeld besteedt uw kind achter het scherm (bi;v8j_9
;Hoe belangrijk zijn/waren de scholen van Kind1 in relatie tot hoe u Kind1 hebt o;v9_1
;Hoe belangrijk zijn/waren de scholen van Kind10 in relatie tot hoe u Kind10 hebt;v9_10
;Hoe belangrijk zijn/waren de scholen van Kind2 in relatie tot hoe u Kind2 hebt o;v9_2
;Hoe belangrijk zijn/waren de scholen van Kind3 in relatie tot hoe u Kind3 hebt o;v9_3
;Hoe belangrijk zijn/waren de scholen van Kind4 in relatie tot hoe u Kind4 hebt o;v9_4
;Hoe belangrijk zijn/waren de scholen van Kind5 in relatie tot hoe u Kind5 hebt o;v9_5
;Hoe belangrijk zijn/waren de scholen van Kind6 in relatie tot hoe u Kind6 hebt o;v9_6
;Hoe belangrijk zijn/waren de scholen van Kind7 in relatie tot hoe u Kind7 hebt o;v9_7
;Hoe belangrijk zijn/waren de scholen van Kind8 in relatie tot hoe u Kind8 hebt o;v9_8
;Hoe belangrijk zijn/waren de scholen van Kind9 in relatie tot hoe u Kind9 hebt o;v9_9
dwelling_type;Soort woning waarin het huishouden woont;woning
dom_situation;Woonvorm huishouden;woonvorm
