;men_unmarried;men_married;men_widowed;men_divorced;women_unmarried;women_married;women_widowed;women_divorced
82.0;0.00011751000325450993;0.0018107027335225799;0.0004904390600377713;0.00016735837871822013;0.00015320833553904016;0.0012151798502810507;0.0017966963456041024;0.000295139733112947
83.0;0.00010508382320375796;0.0015698646889551156;0.0004886433692789921;0.00014135677653109751;0.0001529210250176355;0.0010088908959124978;0.0017968400008648046;0.0002481644628632835
84.0;8.518756959648459e-05;0.0013625701477616462;0.0004742778432087586;0.00011528334671362374;0.00013877098183845548;0.0008404551027390102;0.001795187965366728;0.0002230247922403749
85.0;7.355149347959546e-05;0.0011245333807778774;0.0004656585275666185;9.143657343703615e-05;0.00013841184368669965;0.0006607423716003893;0.0017520195595256763;0.000186608183652333
86.0;6.493217783745537e-05;0.0009652915242893392;0.0004455467910682916;7.671190921504683e-05;0.0001376217397528368;0.0005432323683458793;0.0017259461297082024;0.0001612530301383709
87.0;5.667200034707111e-05;0.0007812691353296482;0.00041588197973325947;5.9114139779010805e-05;0.0001237590070950615;0.0004120032876942964;0.0016083642988233412;0.000140710327857937
88.0;4.9632892572656704e-05;0.0006065125106852579;0.0003906704814799997;4.9992030724412535e-05;0.00011557065723502841;0.0003202794037358556;0.0015213092108377264;0.00011312851780308871
89.0;3.2394261288376517e-05;0.0004568237290334249;0.0003327055837866076;3.70630572612024e-05;0.0001001277167095274;0.00021835599626754903;0.0013145174630567152;9.143657343703615e-05
90.0;2.858739687976464e-05;0.00033565051663100545;0.00029506790548259584;2.6288912708527283e-05;9.186753921914315e-05;0.00015306468027833782;0.0011807025877124903;6.88108698764184e-05
91.0;1.9680770716219877e-05;0.00024299287347799944;0.000248810911536444;1.8172390478845362e-05;7.448525267416064e-05;9.610536940986204e-05;0.0009693138715890046;6.1771762102004e-05
92.0;1.5227457634447497e-05;0.0001709497602357785;0.00021038312929856943;1.458100896128699e-05;6.92418356585254e-05;6.550679888026471e-05;0.0008248685069528069;4.359937162315864e-05
93.0;1.1061455074079786e-05;0.00011363131121554689;0.00016240227222398957;9.481247206354102e-06;5.688748323812461e-05;3.9577024323493256e-05;0.0006530568151528143;3.713488489155357e-05
94.0;6.823624883360907e-06;7.003193959238825e-05;0.00012648845704840586;5.0279341245817205e-06;4.431764792667031e-05;2.4780532471152768e-05;0.0005390663657855116;2.6432567969229618e-05
95.0;5.458899906688726e-06;4.884278863879386e-05;9.689547334372488e-05;4.3814854514212136e-06;3.232243365802535e-05;1.429369843988232e-05;0.0004005108668381096;2.2553875930266575e-05
96.0;3.160415735451367e-06;2.2769358821320077e-05;6.679969622658572e-05;3.0167604747490326e-06;2.6145257447824948e-05;7.3982459261702465e-06;0.0002982283212180472;1.3359939245317144e-05
97.0;2.442139431939693e-06;1.486831948269166e-05;4.259378479824229e-05;1.6520354980768511e-06;1.6233044459363842e-05;4.3814854514212136e-06;0.00020686357541136222;9.696730097407605e-06
98.0;1.149242085618679e-06;8.69114327249126e-06;2.952115607432982e-05;1.2210697159698466e-06;1.1061455074079786e-05;1.939346019481521e-06;0.00014236236335601386;7.039107774414409e-06
99.0;1.0055868249163442e-06;3.591381517558372e-06;1.795690758779186e-05;6.464486731605069e-07;8.547488011788925e-06;5.746210428093395e-07;8.367918935911007e-05;3.0885881051002e-06
